Infinitive,враща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,враща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,враща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,враща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,враща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,враща́юсь
2nd Sing,враща́ешься
3rd Sing,враща́ется
1st Pl,враща́емся
2nd Pl,враща́етесь
3rd Pl,враща́ются
Past M,враща́лся
Past F,враща́лась
Past N,враща́лось
Past PL,враща́лись
Imp S,враща́йся
Imp PL,враща́йтесь
