Infinitive,вруби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вруби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вру́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вруби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вруби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,врублю́
2nd Sing,вру́бишь
3rd Sing,вру́бит
1st Pl,вру́бим
2nd Pl,вру́бите
3rd Pl,вру́бят
Past M,вруби́л
Past F,вруби́ла
Past N,вруби́ло
Past PL,вруби́ли
Imp S,вруби́
Imp PL,вруби́те
