Infinitive,вруча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вруча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вруча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вруча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вруча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вруча́юсь
2nd Sing,вруча́ешься
3rd Sing,вруча́ется
1st Pl,вруча́емся
2nd Pl,вруча́етесь
3rd Pl,вруча́ются
Past M,вруча́лся
Past F,вруча́лась
Past N,вруча́лось
Past PL,вруча́лись
Imp S,вруча́йся
Imp PL,вруча́йтесь
