Infinitive,вручи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вручи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вручённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вручи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вручи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вручу́
2nd Sing,вручи́шь
3rd Sing,вручи́т
1st Pl,вручи́м
2nd Pl,вручи́те
3rd Pl,вруча́т
Past M,вручи́л
Past F,вручи́ла
Past N,вручи́ло
Past PL,вручи́ли
Imp S,вручи́
Imp PL,вручи́те
