Infinitive,вреди́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вредя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вреди́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вредя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вреди́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вреди́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,врежу́
2nd Sing,вреди́шь
3rd Sing,вреди́т
1st Pl,вреди́м
2nd Pl,вреди́те
3rd Pl,вредя́т
Past M,вреди́л
Past F,вреди́ла
Past N,вреди́ло
Past PL,вреди́ли
Imp S,вреди́
Imp PL,вреди́те
