Infinitive,врасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вро́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вро́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,врасту́
2nd Sing,врастёшь
3rd Sing,врастёт
1st Pl,врастём
2nd Pl,врастёте
3rd Pl,врасту́т
Past M,вро́с
Past F,вросла́
Past N,вросло́
Past PL,вросли́
Imp S,врасти́vrastí
Imp PL,врасти́те
