Infinitive,враждова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вражду́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,враждова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вражду́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,враждова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,враждова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вражду́ю
2nd Sing,вражду́ешь
3rd Sing,вражду́ет
1st Pl,вражду́ем
2nd Pl,вражду́ете
3rd Pl,вражду́ют
Past M,враждова́л
Past F,враждова́ла
Past N,враждова́ло
Past PL,враждова́ли
Imp S,вражду́й
Imp PL,вражду́йте
