Infinitive,вразуми́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вразуми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вразумлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вразуми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вразуми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вразумлю́
2nd Sing,вразуми́шь
3rd Sing,вразуми́т
1st Pl,вразуми́м
2nd Pl,вразуми́те
3rd Pl,вразумя́т
Past M,вразуми́л
Past F,вразуми́ла
Past N,вразуми́ло
Past PL,вразуми́ли
Imp S,вразуми́
Imp PL,вразуми́те
