Infinitive,вре́заться
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вре́завшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вре́завшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вре́жусь
2nd Sing,вре́жешься
3rd Sing,вре́жется
1st Pl,вре́жемся
2nd Pl,вре́жетесь
3rd Pl,вре́жутся
Past M,вре́зался
Past F,вре́залась
Past N,вре́залось
Past PL,вре́зались
Imp S,вре́жься
Imp PL,вре́жьтесь
