Infinitive,терпе́ться
Zaliznyak Class,5c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,терпя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,терпе́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,терпя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,терпе́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,терплю́сь
2nd Sing,те́рпишься
3rd Sing,те́рпится
1st Pl,те́рпимся
2nd Pl,те́рпитесь
3rd Pl,те́рпятся
Past M,терпе́лся
Past F,терпе́лась
Past N,терпе́лось
Past PL,терпе́лись
Imp S,терпи́сь
Imp PL,терпи́тесь
