Infinitive,те́плиться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,те́плящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,те́плившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,те́плясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,те́плившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,те́плюсь
2nd Sing,те́плишься
3rd Sing,те́плится
1st Pl,те́плимся
2nd Pl,те́плитесь
3rd Pl,те́плятся
Past M,те́плился
Past F,те́плилась
Past N,те́плилось
Past PL,те́плились
Imp S,те́плись
Imp PL,те́плитесь
