Infinitive,теря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,теря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,теря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,теря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,теря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,теря́юсь
2nd Sing,теря́ешься
3rd Sing,теря́ется
1st Pl,теря́емся
2nd Pl,теря́етесь
3rd Pl,теря́ются
Past M,теря́лся
Past F,теря́лась
Past N,теря́лось
Past PL,теря́лись
Imp S,теря́йся
Imp PL,теря́йтесь
