Infinitive,тесни́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тесня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тесни́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тесня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тесни́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тесню́сь
2nd Sing,тесни́шься
3rd Sing,тесни́тся
1st Pl,тесни́мся
2nd Pl,тесни́тесь
3rd Pl,тесня́тся
Past M,тесни́лся
Past F,тесни́лась
Past N,тесни́лось
Past PL,тесни́лись
Imp S,тесни́сь
Imp PL,тесни́тесь
