Infinitive,те́чь
Zaliznyak Class,8b/b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,теку́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тёкший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,теку́
2nd Sing,течёшь
3rd Sing,течёт
1st Pl,течём
2nd Pl,течёте
3rd Pl,теку́т
Past M,тёк
Past F,текла́
Past N,текло́
Past PL,текли́
Imp S,теки́
Imp PL,теки́те
