Infinitive,терза́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,терза́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,терза́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,терза́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,терза́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,терза́юсь
2nd Sing,терза́ешься
3rd Sing,терза́ется
1st Pl,терза́емся
2nd Pl,терза́етесь
3rd Pl,терза́ются
Past M,терза́лся
Past F,терза́лась
Past N,терза́лось
Past PL,терза́лись
Imp S,терза́йся
Imp PL,терза́йтесь
