Infinitive,терпе́ть
Zaliznyak Class,5c④
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,те́рпящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,терпе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,терпи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,терпя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,терпе́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,терпе́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,терплю́
2nd Sing,те́рпишь
3rd Sing,те́рпит
1st Pl,те́рпим
2nd Pl,те́рпите
3rd Pl,те́рпят
Past M,терпе́л
Past F,терпе́ла
Past N,терпе́ло
Past PL,терпе́ли
Imp S,терпи́
Imp PL,терпи́те
