Infinitive,мно́житься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,мно́жащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мно́жившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мно́жась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мно́жившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,мно́жусь
2nd Sing,мно́жишься
3rd Sing,мно́жится
1st Pl,мно́жимся
2nd Pl,мно́житесь
3rd Pl,мно́жатся
Past M,мно́жился
Past F,мно́жилась
Past N,мно́жилось
Past PL,мно́жились
Imp S,мно́жься
Imp PL,мно́жьтесь
