Infinitive,зя́бнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зя́бнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зя́бший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зя́бнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,зя́бнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,зя́бши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,зя́бну
2nd Sing,зя́бнешь
3rd Sing,зя́бнет
1st Pl,зя́бнем
2nd Pl,зя́бнете
3rd Pl,зя́бнут
Past M,зя́б
Past F,зя́бла
Past N,зя́бло
Past PL,зя́бли
Imp S,зя́бни
Imp PL,зя́бните
