Infinitive,вмести́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вмести́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вмещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вмести́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вмести́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вмещу́
2nd Sing,вмести́шь
3rd Sing,вмести́т
1st Pl,вмести́м
2nd Pl,вмести́те
3rd Pl,вместя́т
Past M,вмести́л
Past F,вмести́ла
Past N,вмести́ло
Past PL,вмести́ли
Imp S,вмести́
Imp PL,вмести́те
