Infinitive,вмеща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вмеща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вмеща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вмеща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вмеща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вмеща́юсь
2nd Sing,вмеща́ешься
3rd Sing,вмеща́ется
1st Pl,вмеща́емся
2nd Pl,вмеща́етесь
3rd Pl,вмеща́ются
Past M,вмеща́лся
Past F,вмеща́лась
Past N,вмеща́лось
Past PL,вмеща́лись
Imp S,вмеща́йся
Imp PL,вмеща́йтесь
