Infinitive,вме́шиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вме́шивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вме́шивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вме́шиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вме́шивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вме́шиваюсь
2nd Sing,вме́шиваешься
3rd Sing,вме́шивается
1st Pl,вме́шиваемся
2nd Pl,вме́шиваетесь
3rd Pl,вме́шиваются
Past M,вме́шивался
Past F,вме́шивалась
Past N,вме́шивалось
Past PL,вме́шивались
Imp S,вме́шивайся
Imp PL,вме́шивайтесь
