Infinitive,вма́зать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вма́завший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вма́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вма́зав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вма́завши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вма́жу
2nd Sing,вма́жешь
3rd Sing,вма́жет
1st Pl,вма́жем
2nd Pl,вма́жете
3rd Pl,вма́жут
Past M,вма́зал
Past F,вма́зала
Past N,вма́зало
Past PL,вма́зали
Imp S,вма́жь
Imp PL,вма́жьте
