Infinitive,вмонти́ровать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вмонти́ровавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вмонти́рованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вмонти́ровав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вмонти́ровавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вмонти́рую
2nd Sing,вмонти́руешь
3rd Sing,вмонти́рует
1st Pl,вмонти́руем
2nd Pl,вмонти́руете
3rd Pl,вмонти́руют
Past M,вмонти́ровал
Past F,вмонти́ровала
Past N,вмонти́ровало
Past PL,вмонти́ровали
Imp S,вмонти́руй
Imp PL,вмонти́руйте
