Infinitive,вмеша́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вмеша́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вмеша́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вмеша́юсь
2nd Sing,вмеша́ешься
3rd Sing,вмеша́ется
1st Pl,вмеша́емся
2nd Pl,вмеша́етесь
3rd Pl,вмеша́ются
Past M,вмеша́лся
Past F,вмеша́лась
Past N,вмеша́лось
Past PL,вмеша́лись
Imp S,вмеша́йся
Imp PL,вмеша́йтесь
