Infinitive,зевну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зевну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зевну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зевну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зевну́
2nd Sing,зевнёшь
3rd Sing,зевнёт
1st Pl,зевнём
2nd Pl,зевнёте
3rd Pl,зевну́т
Past M,зевну́л
Past F,зевну́ла
Past N,зевну́ло
Past PL,зевну́ли
Imp S,зевни́
Imp PL,зевни́те
