Infinitive,зелене́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зелене́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зелене́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зелене́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зелене́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,зелене́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,зелене́ю
2nd Sing,зелене́ешь
3rd Sing,зелене́ет
1st Pl,зелене́ем
2nd Pl,зелене́ете
3rd Pl,зелене́ют
Past M,зелене́л
Past F,зелене́ла
Past N,зелене́ло
Past PL,зелене́ли
Imp S,зелене́й
Imp PL,зелене́йте
