Infinitive,зева́ть
Zaliznyak Class,1a(-ё-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зева́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зёванный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,зева́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,зева́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,зева́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,зева́ю
2nd Sing,зева́ешь
3rd Sing,зева́ет
1st Pl,зева́ем
2nd Pl,зева́ете
3rd Pl,зева́ют
Past M,зева́л
Past F,зева́ла
Past N,зева́ло
Past PL,зева́ли
Imp S,зева́й
Imp PL,зева́йте
