Infinitive,"ржа́веть, ржаве́ть"
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ржа́веющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,ржаве́ющий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,ржа́вевший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ржаве́вший
PART:3:Participle Type,active
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,ржа́вея
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,short
PART:5:Participle Text,ржаве́я
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,ржа́вев
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,ржаве́в
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,ржа́вею
2nd Sing,ржа́веешь
3rd Sing,ржа́веет
1st Pl,ржа́веем
2nd Pl,ржа́веете
3rd Pl,ржа́веют
Past M,ржа́вел
Past F,ржа́вела
Past N,ржа́вело
Past PL,ржа́вели
Imp S,ржа́вей
Imp PL,ржа́вейте
