Infinitive,ржа́ть
Zaliznyak Class,6b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ржу́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ржа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ржа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ржа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ржу́
2nd Sing,ржёшь
3rd Sing,ржёт
1st Pl,ржём
2nd Pl,ржёте
3rd Pl,ржу́т
Past M,ржа́л
Past F,ржа́ла
Past N,ржа́ло
Past PL,ржа́ли
Imp S,ржи́
Imp PL,ржи́те
