Infinitive,шевели́ться
Zaliznyak Class,4b // 4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,шевеля́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шевели́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шевеля́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шевели́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,шевелю́сь
2nd Sing,шевели́шься
3rd Sing,шевели́тся
1st Pl,шевели́мся
2nd Pl,шевели́тесь
3rd Pl,шевеля́тся
Past M,шевели́лся
Past F,шевели́лась
Past N,шевели́лось
Past PL,шевели́лись
Imp S,шевели́сь
Imp PL,шевели́тесь
