Infinitive,шевельну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,шевельну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,шевельну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,шевельну́сь
2nd Sing,шевельнёшься
3rd Sing,шевельнётся
1st Pl,шевельнёмся
2nd Pl,шевельнётесь
3rd Pl,шевельну́тся
Past M,шевельну́лся
Past F,шевельну́лась
Past N,шевельну́лось
Past PL,шевельну́лись
Imp S,шевельни́сь
Imp PL,шевельни́тесь
