Infinitive,шевельну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,шевельну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,шевельну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,шевельну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,шевельну́
2nd Sing,шевельнёшь
3rd Sing,шевельнёт
1st Pl,шевельнём
2nd Pl,шевельнёте
3rd Pl,шевельну́т
Past M,шевельну́л
Past F,шевельну́ла
Past N,шевельну́ло
Past PL,шевельну́ли
Imp S,шевельни́
Imp PL,шевельни́те
