Infinitive,ше́ствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ше́ствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ше́ствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ше́ствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ше́ствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ше́ствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ше́ствую
2nd Sing,ше́ствуешь
3rd Sing,ше́ствует
1st Pl,ше́ствуем
2nd Pl,ше́ствуете
3rd Pl,ше́ствуют
Past M,ше́ствовал
Past F,ше́ствовала
Past N,ше́ствовало
Past PL,ше́ствовали
Imp S,ше́ствуй
Imp PL,ше́ствуйте
