Infinitive,шепну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,шепну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,шепну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,шепну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,шепну́
2nd Sing,шепнёшь
3rd Sing,шепнёт
1st Pl,шепнём
2nd Pl,шепнёте
3rd Pl,шепну́т
Past M,шепну́л
Past F,шепну́ла
Past N,шепну́ло
Past PL,шепну́ли
Imp S,шепни́
Imp PL,шепни́те
