Infinitive,шепта́ть
Zaliznyak Class,6c(-ё-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ше́пчущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шепта́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шёптанный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,шепча́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,шепта́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,шепта́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,шепчу́
2nd Sing,ше́пчешь
3rd Sing,ше́пчет
1st Pl,ше́пчем
2nd Pl,ше́пчете
3rd Pl,ше́пчут
Past M,шепта́л
Past F,шепта́ла
Past N,шепта́ло
Past PL,шепта́ли
Imp S,шепчи́
Imp PL,шепчи́те
