Infinitive,шевели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,шевеля́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шевели́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шевели́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шевелённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,шевеля́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,шевели́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,шевели́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,шевелю́
2nd Sing,шевели́шь
3rd Sing,шевели́т
1st Pl,шевели́м
2nd Pl,шевели́те
3rd Pl,шевеля́т
Past M,шевели́л
Past F,шевели́ла
Past N,шевели́ло
Past PL,шевели́ли
Imp S,шевели́
Imp PL,шевели́те
