Infinitive,шелохну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,шелохну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,шелохну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,шелохну́сь
2nd Sing,шелохнёшься
3rd Sing,шелохнётся
1st Pl,шелохнёмся
2nd Pl,шелохнётесь
3rd Pl,шелохну́тся
Past M,шелохну́лся
Past F,шелохну́лась
Past N,шелохну́лось
Past PL,шелохну́лись
Imp S,шелохни́сь
Imp PL,шелохни́тесь
