Infinitive,шепта́ться
Zaliznyak Class,6c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ше́пчущийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шепта́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шепча́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шепта́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,шепчу́сь
2nd Sing,ше́пчешься
3rd Sing,ше́пчется
1st Pl,ше́пчемся
2nd Pl,ше́пчетесь
3rd Pl,ше́пчутся
Past M,шепта́лся
Past F,шепта́лась
Past N,шепта́лось
Past PL,шепта́лись
Imp S,шепчи́сь
Imp PL,шепчи́тесь
