Infinitive,шепеля́вить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,шепеля́вящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шепеля́вивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шепеля́вя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шепеля́вив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,шепеля́вивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,шепеля́влю
2nd Sing,шепеля́вишь
3rd Sing,шепеля́вит
1st Pl,шепеля́вим
2nd Pl,шепеля́вите
3rd Pl,шепеля́вят
Past M,шепеля́вил
Past F,шепеля́вила
Past N,шепеля́вило
Past PL,шепеля́вили
Imp S,шепеля́вь
Imp PL,шепеля́вьте
