Infinitive,уясни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уясни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уяснённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уясни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уясни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уясню́
2nd Sing,уясни́шь
3rd Sing,уясни́т
1st Pl,уясни́м
2nd Pl,уясни́те
3rd Pl,уясня́т
Past M,уясни́л
Past F,уясни́ла
Past N,уясни́ло
Past PL,уясни́ли
Imp S,уясни́
Imp PL,уясни́те
