Infinitive,уязви́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уязви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уязвлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уязви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уязви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уязвлю́
2nd Sing,уязви́шь
3rd Sing,уязви́т
1st Pl,уязви́м
2nd Pl,уязви́те
3rd Pl,уязвя́т
Past M,уязви́л
Past F,уязви́ла
Past N,уязви́ло
Past PL,уязви́ли
Imp S,уязви́
Imp PL,уязви́те
