Infinitive,серебри́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,серебря́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,серебри́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,серебря́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,серебри́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,серебрю́сь
2nd Sing,серебри́шься
3rd Sing,серебри́тся
1st Pl,серебри́мся
2nd Pl,серебри́тесь
3rd Pl,серебря́тся
Past M,серебри́лся
Past F,серебри́лась
Past N,серебри́лось
Past PL,серебри́лись
Imp S,серебри́сь
Imp PL,серебри́тесь
