Infinitive,се́сть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,се́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,се́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,се́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ся́ду
2nd Sing,ся́дешь
3rd Sing,ся́дет
1st Pl,ся́дем
2nd Pl,ся́дете
3rd Pl,ся́дут
Past M,се́л
Past F,се́ла
Past N,се́ло
Past PL,се́ли
Imp S,ся́дь
Imp PL,ся́дьте
