Infinitive,сели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,селя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сели́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сели́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,селённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,селя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,сели́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,сели́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,селю́
2nd Sing,сели́шь
3rd Sing,сели́т
1st Pl,сели́м
2nd Pl,сели́те
3rd Pl,селя́т
Past M,сели́л
Past F,сели́ла
Past N,сели́ло
Past PL,сели́ли
Imp S,сели́
Imp PL,сели́те
