Infinitive,серди́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сердя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,серди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сердя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,серди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сержу́сь
2nd Sing,се́рдишься
3rd Sing,се́рдится
1st Pl,се́рдимся
2nd Pl,се́рдитесь
3rd Pl,се́рдятся
Past M,серди́лся
Past F,серди́лась
Past N,серди́лось
Past PL,серди́лись
Imp S,серди́сь
Imp PL,серди́тесь
