Infinitive,тара́нить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,тара́нящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тара́нивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тара́нимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тара́ненный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,тара́ня
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,тара́нив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,тара́нивши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,тара́ню
2nd Sing,тара́нишь
3rd Sing,тара́нит
1st Pl,тара́ним
2nd Pl,тара́ните
3rd Pl,тара́нят
Past M,тара́нил
Past F,тара́нила
Past N,тара́нило
Past PL,тара́нили
Imp S,тара́нь
Imp PL,тара́ньте
