Infinitive,таи́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тая́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,таи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тая́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,таи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,таю́сь
2nd Sing,таи́шься
3rd Sing,таи́тся
1st Pl,таи́мся
2nd Pl,таи́тесь
3rd Pl,тая́тся
Past M,таи́лся
Past F,таи́лась
Past N,таи́лось
Past PL,таи́лись
Imp S,таи́сь
Imp PL,таи́тесь
