Infinitive,тара́щить
Zaliznyak Class,4a[③]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,тара́щащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тара́щивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тара́щимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тара́щенный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,тара́ща
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,тара́щив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,тара́щивши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,тара́щу
2nd Sing,тара́щишь
3rd Sing,тара́щит
1st Pl,тара́щим
2nd Pl,тара́щите
3rd Pl,тара́щат
Past M,тара́щил
Past F,тара́щила
Past N,тара́щило
Past PL,тара́щили
Imp S,тара́щи
Imp PL,тара́щьте
