Infinitive,тарахте́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тарахтя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тарахте́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тарахтя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тарахте́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,тарахте́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,тарахчу́
2nd Sing,тарахти́шь
3rd Sing,тарахти́т
1st Pl,тарахти́м
2nd Pl,тарахти́те
3rd Pl,тарахтя́т
Past M,тарахте́л
Past F,тарахте́ла
Past N,тарахте́ло
Past PL,тарахте́ли
Imp S,тарахти́
Imp PL,тарахти́те
