Infinitive,танцева́ть
Zaliznyak Class,2a(-о-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,танцу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,танцева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,танцу́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,танцо́ванный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,танцу́я
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,танцева́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,танцева́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,танцу́ю
2nd Sing,танцу́ешь
3rd Sing,танцу́ет
1st Pl,танцу́ем
2nd Pl,танцу́ете
3rd Pl,танцу́ют
Past M,танцева́л
Past F,танцева́ла
Past N,танцева́ло
Past PL,танцева́ли
Imp S,танцу́й
Imp PL,танцу́йте
