Infinitive,тара́щиться
Zaliznyak Class,4a[③]
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тара́щащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тара́щившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тара́щась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тара́щившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тара́щусь
2nd Sing,тара́щишься
3rd Sing,тара́щится
1st Pl,тара́щимся
2nd Pl,тара́щитесь
3rd Pl,тара́щатся
Past M,тара́щился
Past F,тара́щилась
Past N,тара́щилось
Past PL,тара́щились
Imp S,тара́щись
Imp PL,тара́щьтесь
