Infinitive,тарато́рить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,тарато́рящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тарато́ривший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тарато́римый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тарато́ренный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,тарато́ря
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,тарато́рив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,тарато́ривши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,тарато́рю
2nd Sing,тарато́ришь
3rd Sing,тарато́рит
1st Pl,тарато́рим
2nd Pl,тарато́рите
3rd Pl,тарато́рят
Past M,тарато́рил
Past F,тарато́рила
Past N,тарато́рило
Past PL,тарато́рили
Imp S,тарато́рь
Imp PL,тарато́рьте
