Infinitive,таска́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,таска́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,таска́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,таска́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,таска́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,таска́юсь
2nd Sing,таска́ешься
3rd Sing,таска́ется
1st Pl,таска́емся
2nd Pl,таска́етесь
3rd Pl,таска́ются
Past M,таска́лся
Past F,таска́лась
Past N,таска́лось
Past PL,таска́лись
Imp S,таска́йся
Imp PL,таска́йтесь
