Infinitive,тащи́ться
Zaliznyak Class,4c④
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,та́щащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тащи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,таща́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тащи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тащу́сь
2nd Sing,та́щишься
3rd Sing,та́щится
1st Pl,та́щимся
2nd Pl,та́щитесь
3rd Pl,та́щатся
Past M,тащи́лся
Past F,тащи́лась
Past N,тащи́лось
Past PL,тащи́лись
Imp S,тащи́сь
Imp PL,тащи́тесь
