Infinitive,утыка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,утыка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,утыка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утыка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,утыка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утыка́юсь
2nd Sing,утыка́ешься
3rd Sing,утыка́ется
1st Pl,утыка́емся
2nd Pl,утыка́етесь
3rd Pl,утыка́ются
Past M,утыка́лся
Past F,утыка́лась
Past N,утыка́лось
Past PL,утыка́лись
Imp S,утыка́йся
Imp PL,утыка́йтесь
