Infinitive,утоми́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,утоми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утомлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утоми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,утоми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утомлю́
2nd Sing,утоми́шь
3rd Sing,утоми́т
1st Pl,утоми́м
2nd Pl,утоми́те
3rd Pl,утомя́т
Past M,утоми́л
Past F,утоми́ла
Past N,утоми́ло
Past PL,утоми́ли
Imp S,утоми́
Imp PL,утоми́те
