Infinitive,утопи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,утопи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утопи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,утоплю́сь
2nd Sing,уто́пишься
3rd Sing,уто́пится
1st Pl,уто́пимся
2nd Pl,уто́питесь
3rd Pl,уто́пятся
Past M,утопи́лся
Past F,утопи́лась
Past N,утопи́лось
Past PL,утопи́лись
Imp S,утопи́сь
Imp PL,утопи́тесь
