Infinitive,уточни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уточни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уточнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уточни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уточни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уточню́
2nd Sing,уточни́шь
3rd Sing,уточни́т
1st Pl,уточни́м
2nd Pl,уточни́те
3rd Pl,уточня́т
Past M,уточни́л
Past F,уточни́ла
Past N,уточни́ло
Past PL,уточни́ли
Imp S,уточни́
Imp PL,уточни́те
