Infinitive,утепли́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,утепли́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утеплённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утепли́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,утепли́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утеплю́
2nd Sing,утепли́шь
3rd Sing,утепли́т
1st Pl,утепли́м
2nd Pl,утепли́те
3rd Pl,утепля́т
Past M,утепли́л
Past F,утепли́ла
Past N,утепли́ло
Past PL,утепли́ли
Imp S,утепли́
Imp PL,утепли́те
