Infinitive,утерпе́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,утерпе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утерпе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,утерпе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,утерплю́
2nd Sing,уте́рпишь
3rd Sing,уте́рпит
1st Pl,уте́рпим
2nd Pl,уте́рпите
3rd Pl,уте́рпят
Past M,утерпе́л
Past F,утерпе́ла
Past N,утерпе́ло
Past PL,утерпе́ли
Imp S,утерпи́
Imp PL,утерпи́те
