Infinitive,ути́хнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ути́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,ути́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ути́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ути́хши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ути́хну
2nd Sing,ути́хнешь
3rd Sing,ути́хнет
1st Pl,ути́хнем
2nd Pl,ути́хнете
3rd Pl,ути́хнут
Past M,ути́х
Past F,ути́хла
Past N,ути́хло
Past PL,ути́хли
Imp S,ути́хни
Imp PL,ути́хните
