Infinitive,уткну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уткну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уткну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уткну́сь
2nd Sing,уткнёшься
3rd Sing,уткнётся
1st Pl,уткнёмся
2nd Pl,уткнётесь
3rd Pl,уткну́тся
Past M,уткну́лся
Past F,уткну́лась
Past N,уткну́лось
Past PL,уткну́лись
Imp S,уткни́сь
Imp PL,уткни́тесь
