Infinitive,утопа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,утопа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,утопа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утопа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,утопа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,утопа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,утопа́ю
2nd Sing,утопа́ешь
3rd Sing,утопа́ет
1st Pl,утопа́ем
2nd Pl,утопа́ете
3rd Pl,утопа́ют
Past M,утопа́л
Past F,утопа́ла
Past N,утопа́ло
Past PL,утопа́ли
Imp S,утопа́й
Imp PL,утопа́йте
