Infinitive,утра́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,утра́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,утра́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,утра́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,утра́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,утра́чу
2nd Sing,утра́тишь
3rd Sing,утра́тит
1st Pl,утра́тим
2nd Pl,утра́тите
3rd Pl,утра́тят
Past M,утра́тил
Past F,утра́тила
Past N,утра́тило
Past PL,утра́тили
Imp S,утра́ть
Imp PL,утра́тьте
